method,region,n_matched,match_rate_method,match_rate_hubmap,cellcount_method,cellcount_hubmap,cellcount_diff,purity,ari,nmi,f1_macro,f1_weighted
Mesmer,B004-A-004,15914,0.6759259259259259,0.6839730089826793,23544,23267,277,0.6903983913535252,0.5640049507444844,0.5855206249523449,0.27032172162680407,0.6604559585677008
Mesmer,B004-A-008,15867,0.6329836039414369,0.6185482613441448,25067,25652,-585,0.5242957080733598,0.27218329184253925,0.4744589138584579,0.2244277700818864,0.4927728894569686
Mesmer,B004-A-104,20190,0.6517738967621138,0.6097487315776757,30977,33112,-2135,0.5164933135215454,0.20473435265990259,0.41118731462673147,0.1839687059298317,0.38550792002949835
Mesmer,B004-A-204,10759,0.6420217209690894,0.5747022060787351,16758,18721,-1963,0.5817455153824704,0.31682496442340213,0.515677612581101,0.25861583081096223,0.4896144828835093
Mesmer,B004-A-304,14503,0.6886841730376561,0.64013947740113,21059,22656,-1597,0.6290422671171482,0.3601488203993949,0.5302431129723132,0.2919143960603772,0.48205297664443914
Mesmer,B004-A-404,22412,0.6842731963484261,0.614633611232997,32753,36464,-3711,0.6614313760485454,0.5062635204445717,0.5822154705376237,0.3221797352898723,0.5810693734260146
Mesmer,B004-A-408,15373,0.6420129463353519,0.6061430486554689,23945,25362,-1417,0.636115267026605,0.36570260029051505,0.5334356734320153,0.2942477960728455,0.4772972858028392
Mesmer,B004-A-504,22685,0.6715313341819366,0.6509699265381084,33781,34848,-1067,0.5936521930791272,0.3705906030669415,0.5094352665840322,0.2796754996938276,0.509897443769564
Cellpose,B004-A-004,13406,0.7077394150564882,0.5761808570077792,18942,23267,-4325,0.7087871102491422,0.5931163805624738,0.5920764739887996,0.296512818863982,0.6702723449606556
Cellpose,B004-A-008,15064,0.6007816862088219,0.5872446592858257,25074,25652,-578,0.6127190653212958,0.384673167730675,0.5164428560740416,0.25850254908997866,0.5411450173220159
Cellpose,B004-A-104,19124,0.620445771015151,0.5775549649673835,30823,33112,-2289,0.5668793139510563,0.2464536116909847,0.44089655938331934,0.20820259066789137,0.4609578629134474
Cellpose,B004-A-204,10097,0.6225414637153955,0.5393408471769671,16219,18721,-2502,0.6209765276814896,0.41034192604473557,0.5512146780193001,0.28641818650530704,0.5340788243595532
Cellpose,B004-A-304,12865,0.6878207869974337,0.5678407485875706,18704,22656,-3952,0.6518460940536339,0.3639037938393257,0.5461990064007133,0.34343281216704125,0.5158159603170396
Cellpose,B004-A-404,19512,0.6568148921129701,0.5351031154014919,29707,36464,-6757,0.6653341533415335,0.4442288827784533,0.5779567146330329,0.38098903318738647,0.5541433374160695
Cellpose,B004-A-408,14789,0.6151062679366136,0.5831164734642378,24043,25362,-1319,0.6814524308607749,0.4025527601241304,0.5492987862912739,0.3419414914509761,0.5232888621288567
Cellpose,B004-A-504,19199,0.6218903861103913,0.5509354912764004,30872,34848,-3976,0.6181571956872753,0.3438448696305855,0.5085326038369488,0.3248833107521988,0.5200159215384974
CellposeSAM,B004-A-004,16136,0.6501208702659146,0.6935144195641896,24820,23267,1553,0.6874070401586515,0.5629153852805794,0.5801394269546662,0.2716110098946106,0.6069958376226665
CellposeSAM,B004-A-008,16502,0.5747222512450806,0.6433026664587557,28713,25652,3061,0.5974427342140347,0.33465893333033897,0.5003664229832183,0.2359238505999214,0.49413885742057184
CellposeSAM,B004-A-104,20879,0.6016309359151683,0.6305568978014013,34704,33112,1592,0.5583600747162221,0.21024212474166087,0.42888176406727796,0.19796312625078552,0.380966004097036
CellposeSAM,B004-A-204,11032,0.5976812222342616,0.5892847604294642,18458,18721,-263,0.6338832487309645,0.39873433361142707,0.5548688516753139,0.2599769945164046,0.5055532916924476
CellposeSAM,B004-A-304,14493,0.6606044031177355,0.639698093220339,21939,22656,-717,0.6325812461188159,0.3605977559241944,0.5290375884680082,0.2888918351681756,0.48108965593750497
CellposeSAM,B004-A-404,23058,0.6384251183653127,0.6323497147871874,36117,36464,-347,0.6682279469164715,0.4768593474513748,0.5757891202983704,0.34313791916690384,0.5611296003884018
CellposeSAM,B004-A-408,15809,0.6028907024635802,0.6233341219146755,26222,25362,860,0.6545006009235246,0.34642168446600347,0.5361318442705221,0.28049935267129766,0.47256668029494553
CellposeSAM,B004-A-504,21948,0.5927246212428097,0.6298209366391184,37029,34848,2181,0.6182795698924731,0.3487429723391445,0.5163499012504835,0.285199484992348,0.5082566065567813
MicroSAM,B004-A-004,13731,0.6307013917596803,0.5901491382644948,21771,23267,-1496,0.7236180904522613,0.6216691592394614,0.6023421398448547,0.24272167156522464,0.6832742914394107
MicroSAM,B004-A-008,16786,0.5201412989588498,0.6543739279588336,32272,25652,6620,0.6176575717860121,0.38013496454575796,0.5142143632243289,0.2478756598641453,0.5319690015105994
MicroSAM,B004-A-104,20789,0.547525613000079,0.6278388499637594,37969,33112,4857,0.5694357592957814,0.25326673837732233,0.4497139910256724,0.21678474088156743,0.46418890945827884
MicroSAM,B004-A-204,11546,0.5263253863335916,0.616740558730837,21937,18721,3216,0.6178763208037416,0.4035755227313855,0.5501811386291737,0.248645877872585,0.5356237232662207
MicroSAM,B004-A-304,15051,0.6115061146548572,0.6643273305084746,24613,22656,1957,0.6687927712444356,0.4166463528581733,0.5537716723141105,0.29590659816548015,0.513174707001029
MicroSAM,B004-A-404,23423,0.5867778946841025,0.6423595875383941,39918,36464,3454,0.6736967937497331,0.4695288857224021,0.5664751671189755,0.32993661777640326,0.5528538476334041
MicroSAM,B004-A-408,16315,0.5426756253326237,0.6432852298714612,30064,25362,4702,0.6735519460619063,0.3629722447376848,0.5322619132983542,0.3106957732550818,0.4879572584034384
MicroSAM,B004-A-504,23880,0.5469412061107166,0.6852617079889807,43661,34848,8813,0.602177554438861,0.33301468345455854,0.4961735067482963,0.2769156627644407,0.5093795907135321
CellSAM,B004-A-004,16023,0.6935763137390702,0.688657755619547,23102,23267,-165,0.7255819759096299,0.5986870668731613,0.5961076699324336,0.2999781021037271,0.6649406433742138
CellSAM,B004-A-008,15829,0.6273383005707038,0.6170668953687821,25232,25652,-420,0.5855076126097669,0.3314730455817984,0.49917895310748495,0.23374314430763954,0.4906020227761303
CellSAM,B004-A-104,19967,0.6676809898010366,0.6030140130466296,29905,33112,-3207,0.5751990784794911,0.2322412649498837,0.4392151364127371,0.20883452960320736,0.41562529875667803
CellSAM,B004-A-204,10649,0.6398870328085566,0.5688264515784414,16642,18721,-2079,0.6174288665602404,0.381317462889297,0.5357321645647878,0.2869087661832559,0.5120469757795049
CellSAM,B004-A-304,14532,0.7026060049315863,0.6414194915254238,20683,22656,-1973,0.6516652903936141,0.40818392417445615,0.5397391572724999,0.3134165513593011,0.5055228119834253
CellSAM,B004-A-404,22677,0.6789114424285971,0.621901053093462,33402,36464,-3062,0.67173788419985,0.48359824835504184,0.5709180154951322,0.34155962530818806,0.5723023438263065
