metric,A,B,p_value,p_adj_holm,reject_0.05,median_diff(A-B)
ari,CellSAM,Cellpose,0.640625,1.0,False,-0.008915606030054313
ari,CellSAM,CellposeSAM,0.25,1.0,False,0.01039758406989233
ari,CellSAM,InstanSeg,0.7421875,1.0,False,-0.006826520637576744
ari,CellSAM,Mesmer,0.1484375,1.0,False,0.031094514209329002
ari,CellSAM,MicroSAM,0.109375,1.0,False,-0.014743951055577895
ari,Cellpose,CellposeSAM,0.1484375,1.0,False,0.02090429385760148
ari,Cellpose,InstanSeg,1.0,1.0,False,-0.0035783498995135693
ari,Cellpose,Mesmer,0.1953125,1.0,False,0.03298079482580238
ari,Cellpose,MicroSAM,0.640625,1.0,False,-0.0011374617507102919
ari,CellposeSAM,InstanSeg,0.1484375,1.0,False,-0.01501387314896832
ari,CellposeSAM,Mesmer,0.9453125,1.0,False,-0.0003203149695527596
ari,CellposeSAM,MicroSAM,0.078125,1.0,False,-0.029787586953671397
ari,InstanSeg,Mesmer,0.25,1.0,False,0.026523190248360307
ari,InstanSeg,MicroSAM,0.3125,1.0,False,-0.004330819581789075
ari,Mesmer,MicroSAM,0.109375,1.0,False,-0.052514959088099084
