metric,A,B,p_value,p_adj_holm,reject_0.05,median_diff(A-B)
f1_macro,CellSAM,Mesmer,0.0078125,0.1171875,False,0.02318398948614976
f1_macro,Cellpose,CellposeSAM,0.0078125,0.1171875,False,0.032146153004692535
f1_macro,Cellpose,Mesmer,0.0078125,0.1171875,False,0.039641295033231716
f1_macro,InstanSeg,MicroSAM,0.0078125,0.1171875,False,0.01777018384462191
f1_macro,InstanSeg,Mesmer,0.0078125,0.1171875,False,0.029468611185373306
f1_macro,Cellpose,MicroSAM,0.015625,0.15625,False,0.04264926131714157
f1_macro,CellposeSAM,InstanSeg,0.015625,0.15625,False,-0.030032380723117078
f1_macro,CellSAM,InstanSeg,0.0390625,0.3125,False,-0.00718130267371217
f1_macro,CellSAM,CellposeSAM,0.109375,0.765625,False,0.017698059771773647
f1_macro,CellSAM,MicroSAM,0.109375,0.765625,False,0.014566480362802864
f1_macro,CellSAM,Cellpose,0.109375,0.765625,False,-0.017036711206218247
f1_macro,Cellpose,InstanSeg,0.3828125,1.0,False,0.010829502611202357
f1_macro,CellposeSAM,MicroSAM,0.9453125,1.0,False,0.000634529615301388
f1_macro,CellposeSAM,Mesmer,0.25,1.0,False,0.003442574501981377
f1_macro,Mesmer,MicroSAM,0.4609375,1.0,False,-0.005874542295816937
