metric,A,B,p_value,p_adj_holm,reject_0.05,median_diff(A-B)
nmi,CellSAM,Cellpose,0.0234375,0.3515625,False,-0.007557226012505858
nmi,Cellpose,Mesmer,0.0390625,0.546875,False,0.015909503143829384
nmi,CellSAM,InstanSeg,0.1484375,1.0,False,-0.00428184851946814
nmi,CellSAM,CellposeSAM,1.0,1.0,False,0.0010286119412291628
nmi,CellSAM,Mesmer,0.1484375,1.0,False,0.010041544640137678
nmi,CellSAM,MicroSAM,0.1484375,1.0,False,-0.008366662262678237
nmi,Cellpose,CellposeSAM,0.078125,1.0,False,0.011975921175087362
nmi,Cellpose,InstanSeg,0.7421875,1.0,False,0.0015754273149347353
nmi,Cellpose,MicroSAM,0.4609375,1.0,False,0.0016310161199195594
nmi,CellposeSAM,InstanSeg,0.3828125,1.0,False,-0.005297095002757823
nmi,CellposeSAM,Mesmer,0.1953125,1.0,False,0.004805402752479093
nmi,CellposeSAM,MicroSAM,0.3828125,1.0,False,-0.004989004634471328
nmi,InstanSeg,Mesmer,0.109375,1.0,False,0.01932318897288554
nmi,InstanSeg,MicroSAM,0.9453125,1.0,False,-0.0008518481442680303
nmi,Mesmer,MicroSAM,0.109375,1.0,False,-0.02017503711715357
