metric,A,B,p_value,p_adj_holm,reject_0.05,median_diff(A-B)
purity,CellSAM,Mesmer,0.0078125,0.1171875,False,0.03543346786693735
purity,Cellpose,Mesmer,0.0078125,0.1171875,False,0.03186800745358365
purity,Mesmer,MicroSAM,0.0078125,0.1171875,False,-0.036783742228286176
purity,CellposeSAM,Mesmer,0.015625,0.1875,False,0.021506355355132734
purity,InstanSeg,Mesmer,0.0390625,0.4296875,False,0.03510793362694892
purity,CellSAM,InstanSeg,0.7421875,1.0,False,0.0003481987172769818
purity,CellSAM,CellposeSAM,0.3125,1.0,False,0.01017447052332382
purity,CellSAM,Cellpose,0.546875,1.0,False,-0.0018642323906344904
purity,Cellpose,InstanSeg,0.84375,1.0,False,-0.00461425204104049
purity,Cellpose,CellposeSAM,0.1484375,1.0,False,0.01189778517104767
purity,CellSAM,MicroSAM,0.3828125,1.0,False,-0.0011919606476292754
purity,Cellpose,MicroSAM,0.546875,1.0,False,-0.0037474759047206874
purity,CellposeSAM,MicroSAM,0.1484375,1.0,False,-0.015063514858970506
purity,CellposeSAM,InstanSeg,0.25,1.0,False,-0.015588627785263376
purity,InstanSeg,MicroSAM,0.4609375,1.0,False,-0.005270491292877211
